symbol,start_date,market_prediction,end_value,max_drawdown,trade time,last_entry_time,close_time
FILUSDT,12/31/2023,Downtrend,941.5361978,14.83781128,5,1/3/2024 12:10,1/8/2024 1:43
GRTUSDT,1/1/2024,Ranging,818.6130374,24.43004859,5,1/3/2024 11:55,
MKRUSDT,1/2/2024,High Volatility,1209.727223,13.06133727,5,1/3/2024 12:10,
ENSUSDT,1/3/2024,Downtrend,1383.238771,37.98508167,5,1/7/2024 22:31,
TIAUSDT,1/4/2024,Downtrend,939.9654672,16.89419992,5,1/5/2024 1:48,1/8/2024 0:59
SUIUSDT,1/5/2024,Downtrend,934.3293738,12.98832551,5,1/6/2024 5:28,1/8/2024 2:46
LDOUSDT,1/6/2024,High Volatility,933.588839,29.74775886,5,1/7/2024 23:24,
SHIBUSDT,1/7/2024,Ranging,1003.489168,0.720639057,3,1/23/2024 14:03,
OMUSDT,1/8/2024,High Volatility,2304.961652,36.42587421,5,1/9/2024 15:01,
BONKUSDT,1/9/2024,Uptrend,783.9266304,29.77397485,5,1/10/2024 3:18,1/19/2024 1:25
ENSUSDT,1/10/2024,High Volatility,1167.786841,13.79544279,5,1/22/2024 19:42,
XTZUSDT,1/11/2024,High Volatility,1028.147114,22.14801487,5,1/13/2024 1:13,
RUNEUSDT,1/12/2024,Downtrend,937.8744493,6.451286829,5,1/18/2024 0:08,1/18/2024 20:28
TIAUSDT,1/13/2024,Downtrend,938.5589839,10.04625275,5,1/18/2024 11:21,1/22/2024 9:37
VETUSDT,1/14/2024,Downtrend,938.2721455,8.072334879,5,1/19/2024 3:29,1/23/2024 8:13
BNBUSDT,1/15/2024,Downtrend,1090.860215,4.074682699,5,1/23/2024 9:25,
OMUSDT,1/16/2024,Ranging,1263.29874,8.807753195,3,1/18/2024 20:31,
RAYUSDT,1/17/2024,Ranging,878.5771437,20.95142978,5,1/18/2024 16:49,
FETUSDT,1/18/2024,Uptrend,1181.513672,6.530028599,5,2/12/2024 16:18,
TIAUSDT,1/19/2024,Ranging,1093.920408,14.7806939,5,1/22/2024 2:46,
FLOKIUSDT,1/20/2024,Ranging,1096.192342,12.18518331,5,1/21/2024 20:34,
OMUSDT,1/21/2024,Downtrend,937.2555781,8.233644572,5,1/23/2024 9:28,1/23/2024 11:21
TIAUSDT,1/22/2024,Uptrend,1062.518102,18.14758069,5,1/23/2024 23:36,
APTUSDT,1/23/2024,Uptrend,1010.588385,15.48891073,5,1/27/2024 21:09,
MKRUSDT,1/24/2024,Ranging,998.4575225,9.533150255,5,1/28/2024 18:20,
OMUSDT,1/25/2024,High Volatility,2024.29957,37.47724696,5,1/26/2024 8:08,
NEARUSDT,1/26/2024,Uptrend,1161.561224,14.25119577,5,1/30/2024 11:29,
APTUSDT,1/27/2024,Ranging,1139.585747,14.19500032,5,2/6/2024 10:46,
RAYUSDT,1/28/2024,Ranging,835.6405339,24.01220667,5,1/31/2024 10:44,
SUIUSDT,1/29/2024,Downtrend,1064.855405,21.70515882,5,2/1/2024 4:33,
RUNEUSDT,1/30/2024,Ranging,1230.92446,15.42318812,5,2/2/2024 18:00,
OMUSDT,1/31/2024,High Volatility,2182.572725,37.20714766,5,2/1/2024 6:17,
LINKUSDT,2/1/2024,Ranging,1002.080203,0.181885327,1,2/2/2024 3:23,
ICPUSDT,2/2/2024,Uptrend,973.2701422,21.10414513,5,2/14/2024 8:39,
OMUSDT,2/3/2024,Downtrend,1310.549806,18.28388928,4,2/4/2024 16:43,
OMUSDT,2/4/2024,Downtrend,1718.805215,35.65830232,5,2/5/2024 15:33,
ENSUSDT,2/5/2024,Uptrend,1179.38806,26.84739066,5,2/6/2024 6:43,
XMRUSDT,2/6/2024,Ranging,1001.327603,0.234301334,1,2/7/2024 1:00,
STXUSDT,2/7/2024,Ranging,1006.940254,0.67190411,1,2/8/2024 1:31,
OMUSDT,2/8/2024,High Volatility,1348.490818,28.43720285,5,2/24/2024 2:04,
BONKUSDT,2/9/2024,Ranging,2150.518688,43.37763236,5,2/11/2024 23:40,
IMXUSDT,2/10/2024,Ranging,1034.07791,1.159655683,3,3/5/2024 19:56,
BCHUSDT,2/11/2024,Ranging,1507.737966,30.58365426,5,2/17/2024 14:36,
IMXUSDT,2/12/2024,Downtrend,1194.172121,8.705379644,5,3/5/2024 19:54,
ARUSDT,2/13/2024,Ranging,1031.507436,1.205993472,1,2/14/2024 1:49,
PEPEUSDT,2/14/2024,Ranging,6234.583333,39.58988134,5,2/16/2024 14:53,
VETUSDT,2/15/2024,Ranging,977.1246933,22.55057549,5,2/20/2024 15:29,
WLDUSDT,2/16/2024,Ranging,1035.764331,2.438771207,2,2/17/2024 1:47,
FILUSDT,2/17/2024,Ranging,1004.383517,0.56681815,1,2/18/2024 2:01,
GRTUSDT,2/18/2024,Ranging,1367.17757,23.41557918,5,2/19/2024 16:34,
HBARUSDT,2/19/2024,Ranging,1057.752502,23.97930588,5,2/20/2024 15:28,
JASMYUSDT,2/20/2024,Downtrend,1027.125034,3.10669046,2,2/21/2024 1:02,
JASMYUSDT,2/21/2024,High Volatility,1331.672559,37.38247189,5,2/22/2024 14:38,
WLDUSDT,2/22/2024,High Volatility,1065.093701,32.72838336,5,2/24/2024 1:25,
UNIUSDT,2/23/2024,Downtrend,933.2057376,7.998187929,5,2/24/2024 14:35,2/25/2024 3:18
THETAUSDT,2/24/2024,High Volatility,1040.952744,3.018748243,2,2/25/2024 4:29,
ARUSDT,2/25/2024,High Volatility,1436.652675,19.84303253,4,2/26/2024 9:32,
THETAUSDT,2/26/2024,High Volatility,1019.729879,2.2340051,2,2/28/2024 17:31,
PYTHUSDT,2/27/2024,Downtrend,929.8858833,15.12850535,5,2/28/2024 17:31,3/5/2024 19:54
ARUSDT,2/28/2024,High Volatility,1369.29392,32.59589599,5,3/2/2024 2:15,
BONKUSDT,2/29/2024,Downtrend,1269.939898,25.90361028,5,3/19/2024 9:08,
FLOKIUSDT,3/1/2024,High Volatility,1467.477507,26.80688594,4,3/2/2024 1:35,
BCHUSDT,3/2/2024,High Volatility,1275.259933,23.44166017,5,3/3/2024 7:25,
FTMUSDT,3/3/2024,High Volatility,1192.079235,25.14814611,5,3/4/2024 2:28,
BONKUSDT,3/4/2024,High Volatility,677.0177572,40.0829438,5,3/5/2024 2:29,
STRKUSDT,3/5/2024,Ranging,931.0600707,17.98485031,5,3/15/2024 3:28,
NEARUSDT,3/6/2024,High Volatility,1214.118627,27.64280717,5,3/7/2024 5:50,
JUPUSDT,3/7/2024,Downtrend,1739.942295,29.69423009,5,3/8/2024 1:39,
FLOKIUSDT,3/8/2024,High Volatility,896.9234672,38.7794232,5,3/9/2024 17:09,
WLDUSDT,3/9/2024,High Volatility,750.2164762,30.80929473,5,3/10/2024 1:15,
GALAUSDT,3/10/2024,High Volatility,870.604818,27.01010312,5,3/11/2024 15:56,
XRPUSDT,3/11/2024,High Volatility,934.0478522,15.73446114,5,3/12/2024 17:09,
INJUSDT,3/12/2024,Downtrend,933.2018835,13.38101665,5,3/13/2024 20:43,3/15/2024 3:27
WIFUSDT,3/13/2024,Ranging,985.7598604,42.81449285,5,3/16/2024 2:48,
OMUSDT,3/14/2024,Downtrend,1788.511035,38.17979778,5,3/15/2024 2:53,
SEIUSDT,3/15/2024,Downtrend,938.0319346,6.254679389,5,3/16/2024 13:51,3/16/2024 17:36
RAYUSDT,3/16/2024,High Volatility,764.1541017,51.91977046,5,3/17/2024 7:22,
OMUSDT,3/17/2024,Downtrend,1243.243199,32.88555825,5,3/22/2024 13:06,
OMUSDT,3/18/2024,High Volatility,917.4322883,33.85265363,5,3/19/2024 6:06,
ETCUSDT,3/19/2024,Ranging,1013.411552,9.744516974,5,4/13/2024 19:56,
PEPEUSDT,3/20/2024,High Volatility,738.7970838,43.91977713,5,3/21/2024 18:33,
JASMYUSDT,3/21/2024,Downtrend,934.3991532,17.01134049,5,3/22/2024 16:05,4/2/2024 2:39
APTUSDT,3/22/2024,High Volatility,744.5789008,38.54013875,5,4/2/2024 10:43,
GALAUSDT,3/23/2024,High Volatility,868.0924041,42.74175236,5,3/24/2024 6:41,
ICPUSDT,3/24/2024,Downtrend,932.2463073,7.398162369,5,4/12/2024 17:23,4/12/2024 18:32
OMUSDT,3/25/2024,High Volatility,1003.643522,35.7280896,5,4/1/2024 5:50,
IOTAUSDT,3/26/2024,Downtrend,935.6092843,10.51119545,5,3/27/2024 16:12,4/2/2024 2:35
BCHUSDT,3/27/2024,Downtrend,1006.667917,16.29999835,5,4/13/2024 20:20,
FLOKIUSDT,3/28/2024,Downtrend,938.0822082,8.199691995,5,4/1/2024 5:48,4/2/2024 3:44
LTCUSDT,3/29/2024,Downtrend,936.0650695,12.21541087,5,4/1/2024 14:52,4/12/2024 17:25
JUPUSDT,3/30/2024,Downtrend,938.070538,6.877874054,5,4/5/2024 2:40,4/5/2024 10:25
BCHUSDT,3/31/2024,Downtrend,938.7194855,7.057342172,5,4/1/2024 14:38,4/2/2024 5:20
IOTAUSDT,4/1/2024,Uptrend,997.4789654,0.269509866,1,4/2/2024 0:45,4/13/2024 17:14
OPUSDT,4/2/2024,Uptrend,784.5177994,24.55340731,5,4/8/2024 8:54,4/12/2024 18:32
ENAUSDT,4/3/2024,Ranging,868.5533454,41.75757656,5,4/4/2024 2:27,
ETCUSDT,4/4/2024,Uptrend,772.5921376,25.39260261,5,4/7/2024 2:47,4/13/2024 19:56
APTUSDT,4/5/2024,Uptrend,773.9379952,24.22846281,5,4/8/2024 11:08,4/12/2024 17:28
