symbol,start_date,end_value,sharpe_ratio,trade time,last_entry_time
FILUSDT,2023-12-31,920.5591524426134,-1.266792364189963,5,2024-01-03 12:10:00
GRTUSDT,2024-01-01,790.3190013869626,-3.0406740812908795,5,2024-01-02 14:28:00
MKRUSDT,2024-01-02,1209.7272231314785,3.229067928370348,5,2024-01-03 12:10:00
ENSUSDT,2024-01-03,1383.2387706855793,2.569318701944408,5,2024-01-07 22:31:00
TIAUSDT,2024-01-04,1154.3597853535352,2.0345058922238746,5,2024-01-05 01:48:00
SUIUSDT,2024-01-05,1605.4215200092262,3.8713003665512598,5,2024-01-06 05:28:00
LDOUSDT,2024-01-06,950.445798588839,-0.4368423355587544,5,2024-01-08 00:35:00
SHIBUSDT,2024-01-07,1027.5028506271378,0.7374709227342956,5,2024-01-08 03:25:00
OMUSDT,2024-01-08,1432.6961651917404,5.2673464119559705,4,2024-01-09 14:55:00
BONKUSDT,2024-01-09,727.9076086956521,-3.5680176501864884,5,2024-01-10 02:00:00
ENSUSDT,2024-01-10,1181.7835780315388,2.628693313176646,5,2024-01-23 08:16:00
XTZUSDT,2024-01-11,1034.944134078212,1.1084405631075522,5,2024-01-19 16:38:00
RUNEUSDT,2024-01-12,1159.286343612335,3.0929575574900556,5,2024-01-18 00:08:00
TIAUSDT,2024-01-13,1094.0118155696985,1.58938923730526,5,2024-01-18 11:21:00
VETUSDT,2024-01-14,1123.2435163354664,3.4913275987049612,5,2024-01-19 03:29:00
BNBUSDT,2024-01-15,1090.8602150537636,4.156428848284721,5,2024-01-23 09:25:00
OMUSDT,2024-01-16,3365.4929577464786,5.882097825881651,5,2024-01-18 18:10:00
RAYUSDT,2024-01-17,850.6695350241546,-1.8623047892016253,5,2024-01-18 01:26:00
FETUSDT,2024-01-18,1207.138671875,2.837804058853931,5,2024-01-19 11:35:00
TIAUSDT,2024-01-19,1066.704148366165,1.1835374463507846,5,2024-01-20 05:30:00
FLOKIUSDT,2024-01-20,1070.5969249321677,1.7151211397406847,5,2024-01-21 05:06:00
OMUSDT,2024-01-21,2045.7068965517242,4.146863322517157,5,2024-01-23 09:28:00
TIAUSDT,2024-01-22,1082.9804694125169,1.43914360698399,5,2024-01-23 03:03:00
APTUSDT,2024-01-23,1033.063502006914,0.8633591236691229,5,2024-01-27 10:46:00
MKRUSDT,2024-01-24,971.4333175130516,-1.0232914798510606,5,2024-01-26 09:36:00
OMUSDT,2024-01-25,1111.994800519948,2.849112950646758,3,2024-01-26 06:55:00
NEARUSDT,2024-01-26,1182.3095238095239,2.63570972779904,5,2024-01-28 03:50:00
APTUSDT,2024-01-27,1110.238509480917,2.4306292391576747,5,2024-01-28 14:57:00
RAYUSDT,2024-01-28,805.1572568272476,-2.954340521762884,5,2024-01-29 07:40:00
SUIUSDT,2024-01-29,1064.8554053179787,1.2381418524362329,5,2024-02-01 04:33:00
RUNEUSDT,2024-01-30,1202.9210357372137,3.4441653684643505,5,2024-02-01 01:14:00
OMUSDT,2024-01-31,2197.0749933279953,4.810176976191083,5,2024-02-01 07:54:00
LINKUSDT,2024-02-01,1002.080203332392,1.4261954844317757,1,2024-02-02 03:23:00
ICPUSDT,2024-02-02,997.400357392588,0.12367886230673428,5,2024-02-03 06:52:00
OMUSDT,2024-02-03,1310.549805950841,3.9019236001574953,4,2024-02-04 16:43:00
OMUSDT,2024-02-04,1718.8052149065368,3.770822377823239,5,2024-02-05 15:33:00
ENSUSDT,2024-02-05,1206.3830845771145,2.7004079484579084,5,2024-02-06 03:02:00
XMRUSDT,2024-02-06,1001.3276026743076,1.1934100204921927,1,2024-02-07 01:00:00
STXUSDT,2024-02-07,1006.9402538314176,3.7005265978776145,1,2024-02-08 01:31:00
OMUSDT,2024-02-08,1114.9465145302192,4.851404171842521,4,2024-02-24 02:04:00
BONKUSDT,2024-02-09,2122.7383676582767,4.665488063073917,5,2024-02-10 08:49:00
IMXUSDT,2024-02-10,1280.0694065918094,3.6442155489114088,5,2024-02-11 08:02:00
BCHUSDT,2024-02-11,1478.7260224393776,2.789675843407241,5,2024-02-12 05:48:00
IMXUSDT,2024-02-12,1194.172120639633,4.636867383462784,5,2024-03-05 19:54:00
ARUSDT,2024-02-13,1031.5074355408153,5.935914681086775,1,2024-02-14 01:49:00
PEPEUSDT,2024-02-14,6228.749999999999,7.783603963366136,5,2024-02-16 14:46:00
VETUSDT,2024-02-15,945.3245594467991,-0.5303433494814462,5,2024-02-17 13:16:00
WLDUSDT,2024-02-16,1971.2238398544132,3.674567969477263,5,2024-02-17 01:52:00
FILUSDT,2024-02-17,1004.3835171966256,1.5681436707823124,1,2024-02-18 02:01:00
GRTUSDT,2024-02-18,1337.3457943925234,2.5679010444966845,5,2024-02-19 08:08:00
HBARUSDT,2024-02-19,1026.9062784349408,0.6371303137885129,5,2024-02-20 01:18:00
JASMYUSDT,2024-02-20,1027.125033659456,2.5001815954649405,2,2024-02-21 01:02:00
JASMYUSDT,2024-02-21,1340.2114803625377,2.399682899580992,5,2024-02-22 14:39:00
WLDUSDT,2024-02-22,1078.543102405997,1.0862510391697298,5,2024-02-27 01:59:00
UNIUSDT,2024-02-23,1048.3120673838712,0.8826614222415965,5,2024-02-24 14:35:00
THETAUSDT,2024-02-24,1041.0137195121952,4.329205871238974,2,2024-02-25 04:31:00
ARUSDT,2024-02-25,1438.8967547926322,4.741655117377172,4,2024-02-26 13:44:00
THETAUSDT,2024-02-26,1019.7298787210584,2.889388373871045,2,2024-02-28 17:31:00
PYTHUSDT,2024-02-27,1320.9636517328825,3.163281473063729,5,2024-02-28 17:31:00
ARUSDT,2024-02-28,1383.0061196006156,3.2313680773215374,5,2024-03-02 06:48:00
BONKUSDT,2024-02-29,1269.939898289413,2.8727475835638576,5,2024-03-19 09:08:00
