symbol,start_date,market_prediction,end_value,max_drawdown
FILUSDT,12/31/2023,High Volatility,919.8635109,22.58364587
GRTUSDT,1/1/2024,High Volatility,817.8444808,25.00974058
MKRUSDT,1/2/2024,High Volatility,1209.054037,13.06798743
ENSUSDT,1/3/2024,High Volatility,1382.485839,37.99936552
TIAUSDT,1/4/2024,High Volatility,1153.607242,25.52400603
SUIUSDT,1/5/2024,High Volatility,1604.65692,25.68336887
LDOUSDT,1/6/2024,High Volatility,932.8233547,29.76556862
SHIBUSDT,1/7/2024,High Volatility,1009.89887,2.112361384
OMUSDT,1/8/2024,High Volatility,2304.200755,36.4413809
BONKUSDT,1/9/2024,High Volatility,803.8405027,36.90746421
ENSUSDT,1/10/2024,High Volatility,1167.024823,13.80462035
XTZUSDT,1/11/2024,High Volatility,1027.390903,22.16215747
RUNEUSDT,1/12/2024,High Volatility,1158.522515,11.27895131
TIAUSDT,1/13/2024,High Volatility,1093.249619,19.32511142
VETUSDT,1/14/2024,High Volatility,1122.477369,10.11137335
BNBUSDT,1/15/2024,High Volatility,1090.095478,4.077688867
OMUSDT,1/16/2024,High Volatility,3095.739726,35.512853
RAYUSDT,1/17/2024,High Volatility,877.8139206,20.96629808
FETUSDT,1/18/2024,High Volatility,1274.902404,16.0628415
TIAUSDT,1/19/2024,High Volatility,1089.855599,14.7693007
FLOKIUSDT,1/20/2024,High Volatility,1095.425788,12.23850627
OMUSDT,1/21/2024,High Volatility,2044.944973,36.62363978
TIAUSDT,1/22/2024,High Volatility,1152.370338,16.93385315
APTUSDT,1/23/2024,High Volatility,1029.795493,5.537026605
MKRUSDT,1/24/2024,High Volatility,995.5630747,9.529534922
OMUSDT,1/25/2024,High Volatility,2023.542939,37.48654529
NEARUSDT,1/26/2024,High Volatility,1250.971823,11.8093534
APTUSDT,1/27/2024,High Volatility,1138.701753,14.19388613
RAYUSDT,1/28/2024,High Volatility,853.89385,23.36998216
SUIUSDT,1/29/2024,High Volatility,1064.090295,21.71829106
RUNEUSDT,1/30/2024,High Volatility,1229.849107,15.41715822
OMUSDT,1/31/2024,High Volatility,2181.808948,37.21754637
LINKUSDT,2/1/2024,High Volatility,1002.229772,0.184252465
ICPUSDT,2/2/2024,High Volatility,1065.301398,19.44244105
OMUSDT,2/3/2024,High Volatility,1310.292762,18.2873758
OMUSDT,2/4/2024,High Volatility,1718.042749,35.67255206
ENSUSDT,2/5/2024,High Volatility,1009.179507,1.33111917
XMRUSDT,2/6/2024,High Volatility,1001.272061,0.232981135
STXUSDT,2/7/2024,High Volatility,1020.585786,1.951274663
OMUSDT,2/8/2024,High Volatility,1347.741715,28.45047022
BONKUSDT,2/9/2024,High Volatility,2256.834899,43.57463122
IMXUSDT,2/10/2024,High Volatility,1033.942699,1.158367965
BCHUSDT,2/11/2024,High Volatility,1493.109968,30.52859719
IMXUSDT,2/12/2024,High Volatility,1193.420209,8.710516307
ARUSDT,2/13/2024,High Volatility,1092.624797,3.301705067
PEPEUSDT,2/14/2024,High Volatility,5884.787734,39.3121262
VETUSDT,2/15/2024,High Volatility,976.3671626,22.56441056
WLDUSDT,2/16/2024,High Volatility,1103.801646,6.513543767
FILUSDT,2/17/2024,High Volatility,1004.365811,0.566462255
GRTUSDT,2/18/2024,High Volatility,1152.653184,11.44664715
HBARUSDT,2/19/2024,High Volatility,1056.989936,23.99375455
JASMYUSDT,2/20/2024,High Volatility,1027.095463,3.106778443
JASMYUSDT,2/21/2024,High Volatility,1330.924318,37.39914947
WLDUSDT,2/22/2024,High Volatility,1064.331754,32.74611329
UNIUSDT,2/23/2024,High Volatility,1047.546664,32.64975686
THETAUSDT,2/24/2024,High Volatility,1040.923133,3.018832781
ARUSDT,2/25/2024,High Volatility,1436.393996,19.84636041
THETAUSDT,2/26/2024,High Volatility,1019.700375,2.23406888
PYTHUSDT,2/27/2024,High Volatility,1320.237025,23.98157109
ARUSDT,2/28/2024,High Volatility,1368.530002,32.61137559
BONKUSDT,2/29/2024,High Volatility,1269.196121,25.94538146
FLOKIUSDT,3/1/2024,High Volatility,1467.219511,26.811057
BCHUSDT,3/2/2024,High Volatility,1274.499116,23.45908095
FTMUSDT,3/3/2024,High Volatility,1191.314363,25.16025119
BONKUSDT,3/4/2024,High Volatility,676.2544077,40.1124376
STRKUSDT,3/5/2024,High Volatility,885.3129318,27.22150851
NEARUSDT,3/6/2024,High Volatility,1213.362149,27.6571638
JUPUSDT,3/7/2024,High Volatility,1739.17824,29.70597476
FLOKIUSDT,3/8/2024,High Volatility,896.1718975,38.80297648
WLDUSDT,3/9/2024,High Volatility,749.4575638,30.88518598
GALAUSDT,3/10/2024,High Volatility,869.8450884,27.02976433
XRPUSDT,3/11/2024,High Volatility,933.283421,15.74607404
INJUSDT,3/12/2024,High Volatility,742.8494467,32.8193218
WIFUSDT,3/13/2024,High Volatility,1018.60958,43.19403764
OMUSDT,3/14/2024,High Volatility,1787.745843,38.19285197
SEIUSDT,3/15/2024,High Volatility,639.4182687,44.73163968
RAYUSDT,3/16/2024,High Volatility,763.396679,51.94818909
OMUSDT,3/17/2024,High Volatility,1242.479464,32.90109717
OMUSDT,3/18/2024,High Volatility,916.6757021,33.87437833
ETCUSDT,3/19/2024,High Volatility,983.0495048,18.15522776
PEPEUSDT,3/20/2024,High Volatility,738.0319684,43.94931576
JASMYUSDT,3/21/2024,High Volatility,952.1684375,28.94248715
APTUSDT,3/22/2024,High Volatility,743.8147139,38.5691778
GALAUSDT,3/23/2024,High Volatility,867.3278465,42.76997305
ICPUSDT,3/24/2024,High Volatility,985.3998887,20.35986543
OMUSDT,3/25/2024,High Volatility,1002.892159,35.74682736
IOTAUSDT,3/26/2024,High Volatility,767.8751174,36.3983798
BCHUSDT,3/27/2024,High Volatility,1005.940418,16.31046469
FLOKIUSDT,3/28/2024,High Volatility,802.8158407,40.09528969
LTCUSDT,3/29/2024,High Volatility,870.3634977,27.66556267
JUPUSDT,3/30/2024,High Volatility,773.9458331,35.94433652
BCHUSDT,3/31/2024,High Volatility,749.3380807,32.15223268
IOTAUSDT,4/1/2024,High Volatility,775.760402,31.83931275
OPUSDT,4/2/2024,High Volatility,988.1293366,35.6799521
ENAUSDT,4/3/2024,High Volatility,855.422043,41.92403785
ETCUSDT,4/4/2024,High Volatility,928.9759767,17.93446077
APTUSDT,4/5/2024,High Volatility,797.8788552,30.29951926
AVAXUSDT,4/6/2024,High Volatility,855.4439677,27.81844368
PEPEUSDT,4/7/2024,High Volatility,1104.486862,35.69608913
NEOUSDT,4/8/2024,High Volatility,813.9208774,29.62051246
FTMUSDT,4/9/2024,High Volatility,811.9474551,32.75635409
UNIUSDT,4/10/2024,High Volatility,839.0484564,27.26975541
UNIUSDT,4/11/2024,High Volatility,872.1262788,23.28358962
DYDXUSDT,4/12/2024,High Volatility,945.1369577,18.00280067
SANDUSDT,4/13/2024,High Volatility,1001.044656,0.803532291
WIFUSDT,4/14/2024,High Volatility,991.087468,29.00882284
OMUSDT,4/15/2024,High Volatility,911.7557627,27.21667921
TIAUSDT,4/16/2024,High Volatility,879.4904367,28.1183665
WLDUSDT,4/17/2024,High Volatility,1099.182831,24.32796912
GALAUSDT,4/18/2024,High Volatility,1061.767321,21.61983986
WIFUSDT,4/19/2024,High Volatility,935.6109426,29.25480947
BONKUSDT,4/20/2024,High Volatility,1006.302695,0.472731397
BONKUSDT,4/21/2024,High Volatility,1507.476369,25.02637113
SEIUSDT,4/22/2024,High Volatility,901.1030117,25.13732544
HBARUSDT,4/23/2024,High Volatility,777.8312939,39.25571788
ALGOUSDT,4/24/2024,High Volatility,958.2164567,17.49550434
ARUSDT,4/25/2024,High Volatility,1162.23431,23.34436565
LTCUSDT,4/26/2024,High Volatility,1010.370089,8.990179247
ENSUSDT,4/27/2024,High Volatility,1437.471122,16.57775641
ARUSDT,4/28/2024,High Volatility,1087.186746,21.11841007
SEIUSDT,4/29/2024,High Volatility,895.1665004,19.6682294
IMXUSDT,4/30/2024,High Volatility,1004.537658,0.705485234
OPUSDT,5/1/2024,High Volatility,965.1232035,16.14816093
IMXUSDT,5/2/2024,High Volatility,1045.221041,14.8351826
OMUSDT,5/3/2024,High Volatility,1166.339355,14.52357314
FLOKIUSDT,5/4/2024,High Volatility,1373.160242,21.2712008
WLDUSDT,5/5/2024,High Volatility,908.2690585,22.91078829
ENAUSDT,5/6/2024,High Volatility,1113.628783,20.74840307
TIAUSDT,5/7/2024,High Volatility,1130.454836,12.41310131
RUNEUSDT,5/8/2024,High Volatility,1037.324772,10.31991145
ARUSDT,5/9/2024,High Volatility,945.8901132,22.97012256
THETAUSDT,5/10/2024,High Volatility,1011.637684,21.86153542
IMXUSDT,5/11/2024,High Volatility,925.0725696,20.77479694
RUNEUSDT,5/12/2024,High Volatility,877.7497827,27.91670184
FLOKIUSDT,5/13/2024,High Volatility,1001.684637,0.706896597
PEPEUSDT,5/14/2024,High Volatility,1134.628401,29.41704022
IMXUSDT,5/15/2024,High Volatility,820.8187903,28.75494483
LINKUSDT,5/16/2024,High Volatility,1005.364357,3.500884658
ARUSDT,5/17/2024,High Volatility,714.8975267,31.49290269
BONKUSDT,5/18/2024,High Volatility,956.800943,23.6572867
PYTHUSDT,5/19/2024,High Volatility,890.0995807,17.87441221
ENSUSDT,5/20/2024,High Volatility,1005.237575,0.621201423
ENSUSDT,5/21/2024,High Volatility,1238.49676,14.33715607
WIFUSDT,5/22/2024,High Volatility,712.0635951,47.26523252
ENSUSDT,5/23/2024,High Volatility,1093.471816,18.87101261
UNIUSDT,5/24/2024,High Volatility,1000.220661,21.05617035
UNIUSDT,5/25/2024,High Volatility,894.9231951,21.23196061
JASMYUSDT,5/26/2024,High Volatility,1198.749231,33.26625444
FLOKIUSDT,5/27/2024,High Volatility,726.5309456,46.37378898
TIAUSDT,5/28/2024,High Volatility,672.4787144,39.11543147
WLDUSDT,5/29/2024,High Volatility,682.1300751,34.77339729
ARUSDT,5/30/2024,High Volatility,758.030857,33.08258111
